API NO.,District,Lease,Well Number,Permitted Operator,County,Status Date,Status Number,Wellbore Profiles,Filing Purpose,Amend,Total Depth,Stacked Lateral Parent Well DP #,Status,HREF,Submitted_Dt,Approved_Dt,Horizontal Wellbore,Acres
38941107,08,STATE POGO STICK 57-T1-45X4 YB,X102H,BPX OPERATING COMPANY(085408),REEVES,Submitted: 02/27/2024 Approved: 03/11/2024,897739,Horizontal,New Drill,N,9901,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497012609&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQURMlO04GDUbRzkwbNYGRQbEERYFsGJfcB-ONLuyiQOp0z6Xg8HY8cQUpUI0hAuCOqiir50O0qqkt5xJn_sCfT91EJbotkP00ULryvdJFlmgUKV-r56VAw1BOsyTeN79yLpdanuB0sff24ijqwKMPWpnOo9-HRNA0TOZJNA3X78GoNVWemNiivwpRx7hbkougNmfbNNIOdM3IGvXnIAOT9VOV4ss538eDTZMZuf2pQi_pSvxgLN7tB_N19jb1xli52_PcgcCyXuikrwqgQ5KgZZCjHnN81E9e_b3LOb6jurexfAgAA,2024-02-27,2024-03-11,PSA,645.86
38941143,08,MARLIN 11S,63H,"VTX ENERGY OPERATING, LLC(101377)",REEVES,Submitted: 03/13/2024 Approved: 03/18/2024,898156,Horizontal,New Drill,N,13000,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497065623&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQURFkJ0oGDUaRzH0EzGBkUW1AEyJZByX0A_vjSLgqkTudMOh5PxyNHkBLVCBIQ7ojqss4-di81NZU84sx_2JPp-6QEt0W2nyYJF99XRal1wQKFK_W4O5QMiwk25EPwnXuy1PqcngdLXz-uooks0tjafI7NPj6YEJhYI9k8ULePr9ZQfWZqi_IqTJXmbkkuid6Qad9MGOyckTMU23sNMAdiw5N1vksHnyczdvtTg1rUl_rFWLjZDdLv7hvsjbN0seO_B4FjtdRNWRFGhSDHgoFGOa753TBx_fsm5_wGfewRJV8CAAA,2024-03-13,2024-03-18,,1280.26
38941144,08,MARLIN 11S,61H,"VTX ENERGY OPERATING, LLC(101377)",REEVES,Submitted: 03/13/2024 Approved: 03/18/2024,898158,Horizontal,New Drill,N,13000,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497056352&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQ0RFkO0oGDUaRzkwbNYGRQbEERIFsGJfcB-ONLuyiQOp0z6Xg8HY8cQQiUIwhAeCCqyzq50O1raipxwpn_MGfd91Fm3M6S-dQxs-F9lZdK5SyQuJLP22PJMJ9gQ85719kXQ61LcTcY-vpxzZrAIoWtSZfQHMKT9p6JAsmkgbpDeDWa6gtTGxQ3Yao4d0uyMes16fZN-8HMGTlDvnlUAEpNVYFnY10Xjy5NZuz2pwa5qK_1i7FwtxvE393X2Gtr6GrHfw8Cp2qpm7IijBJBjDkDhWIs-F0zcfv7Luf8BhTDJhVfAgAA,2024-03-13,2024-03-18,,1280.26
38941145,08,MARLIN 11S,62H,"VTX ENERGY OPERATING, LLC(101377)",REEVES,Submitted: 03/13/2024 Approved: 03/18/2024,898159,Horizontal,New Drill,N,13000,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497060492&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQURFkO0oGDUaRzkwbNYGRQbMERYFsGJfcB6ONLuyiQOp0z6Xg8HY9MICWqBBIQHoiqoorO9_uK6lKecOY_7NkMQ1CC2yLaTxNE499XWaF1xgKFK_W8PRYMswnW5NrW9c2Lpc7FsBstff24itqzSGNn48XXB_9k2paJHMnGkfqDf7WGqgtTG5Q3YcowdwtqghgMme7NtKOdM3KGbPOoAXQ-VTmebeP6cHRxMmO3PzWoRX2tX4yFu90g_O6-xsE0lq52_PcgcCqXuikrQlIIMmUMNMqU87tm4vb3Xc75DbcXQR5fAgAA,2024-03-13,2024-03-18,,1280.26
38941146,08,MARLIN 11S,21H,"VTX ENERGY OPERATING, LLC(101377)",REEVES,Submitted: 03/13/2024 Approved: 03/18/2024,898160,Horizontal,New Drill,N,13000,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497060495&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQURFk20oGDUaRzH0EzGBkUW3AE2JZByX0A-vjSLgqkTudMOh5PxyMTSIkqgQSEO6K6rKPzw0tNTSWPuPAf9mTGMSjBbRHtpwmi9e-brNQ6Y4HCjXrcHUqG2Qwbcl3nhvbJUu9ieJ4sff24isazSGNv49k3e_9guo6JHMnGiYa9f7WG6jNTW5RXYaqwdEtqgxgNmf7NdJNdMnKGbHuvAXQxVzmebOuGcHBxNmO3PzWoVX2pX42Fm90g_O5e4GhaSxc7_nsQOFZr3ZwVISkEmTIGGmXK-S2YuP59k3N-A1Jq6QNfAgAA,2024-03-13,2024-03-18,,1280.26
38941147,08,MARLIN 11S,11H,"VTX ENERGY OPERATING, LLC(101377)",REEVES,Submitted: 03/13/2024 Approved: 03/19/2024,898161,Horizontal,New Drill,N,13000,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497065621&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQURElO04GDUbRzkwbNYGRQbMERYFsGJfcB-ONLuyiQOp0z6Xg8HY8cQUpUI0hAuCMq8zL50O1Kqgp5xJn_cCfb91EJbovkPm0UdXhf6dwYzQKFK_X8dMgZ6glW5JvGd_WLo9anuB0cff24iiqwyGDr0jlU-_Bom4aJDMmlgbp9eHWWyjNTG5RXYYo4d3Oqo-gt2fbNNoObM3IGvXkwAOZ-qjI8udp38eDTZMZuf2pQi_pSvxgLN7tB_N19jb2tHV3s-O9B4FgsdVNWhFEhyFEzMCjHjN81E9e_b3LOb_G-jghfAgAA,2024-03-13,2024-03-19,,1280.26
38941148,08,MARLIN 11S,22H,"VTX ENERGY OPERATING, LLC(101377)",REEVES,Submitted: 03/13/2024 Approved: 03/18/2024,898163,Horizontal,New Drill,N,13000,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497065622&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQURFkO3IGDUaRzH0EzGBkUW3AE2JZByX0A-vjSLgqkTudMOh5PxyMTSIkqgQSEO6K6rKPzw0tNTSWPuPAf9mTGMSjBbRHtpwmi9e-brNQ6Y4HCjXrcHUqG2Qwbcl3nhvbJUu9ieJ4sff24isazSGNv49k3e_9guo6JHMnGiYa9f7WG6jNTBcqrMFVYuiW1QYyGTP9muskuGTlDVtxrAF3MVY4n27ohHFyczdjtTw1qVV_qV2PhZjcIv7tvcTStpYsd_z0IHKu1bs6KkBSCTBkDjTLl_G6ZuP59k3N-A4A0h2NfAgAA,2024-03-13,2024-03-18,,1280.26
38941149,08,POUTINE UNIT 57-330W,17H,CALLON PETROLEUM OPERATING CO(124828),REEVES,Submitted: 03/19/2024 Approved: 03/20/2024,898235,Horizontal,New Drill,N,12500,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497096191&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQ0RFkOkoGDUbRzmwTNYGRQbEERIFsGJfcB-ONLuyiQOp0z6Xg8HY8cQQiUIwhAeCCqyzq50O1qaipxwpn_MGfd91Fm3M6S-dQxs-F9lZdK5SyQuJLPT8eSYT7Bhpz3rrMvhlqX4utg6OvHNWsCixS2Jl1CcwiP2nsmCiSTBuoOYW801RemNihuwlRx7pZkY9Zr0u2b9oOZM3KGfLNVAGo7VQWejXVdPLo0mbHbnxrkor7WL8bC3W4Qf3dfY6-toasd_z0InKqlbsqKMEoEMeYMFIqx4HfNxO3vu5zzGyPg4GhfAgAA,2024-03-19,2024-03-20,,640.0
38941150,08,POUTINE UNIT 57-330W,10UA,CALLON PETROLEUM OPERATING CO(124828),REEVES,Submitted: 03/19/2024 Approved: 03/20/2024,898236,Horizontal,New Drill,N,12500,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497096192&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQURFkO0oGDUaRzkwbNYGRQbEERYFsGJfcB-ONLuyiQOp0z6Xg8HY8cQUpUI0hAeCCqiir50O0rqkt5wpn_sGfT91EJbotkP00ULryvskLrjAUKV-p5eywYZhOsyTeN79yLpdanuBssff24ijqwSGNr0yXUh_BkmoaJHMmmgbpDeLWGqgtTG5Q3Yco4dwtyUfSGTPtmmsHOGTlDtnnUALmcqhzP1vkuHn2azNjtTw1qUV_rF2PhbjeIv7uvsTfO0tWO_x4ETuVSN2VFGBWCHDMGGuWY87tm4vb3Xc75DR4EbXdfAgAA,2024-03-19,2024-03-20,,640.0
38941151,08,POUTINE UNIT 57-330E,3LA,CALLON PETROLEUM OPERATING CO(124828),REEVES,Submitted: 03/19/2024 Approved: 03/20/2024,898237,Horizontal,New Drill,N,12500,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497096193&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQURFkO0oGDUaRzkwbNYGRQbEERYFsGJfcB-ONLuyiQOp0z6Xg8HY8cQUpUI0hAeCCqiir50O0rqkt5wpn_sGfT91EJbotkP00ULryvskLrjAUKV-p5eywYZhOsyTeN79yLpdanuBssff24ijqwSGNr0yXUh_BkmoaJHMmmgbpDeLWGqgtTG5Q3Yco4dwtyUfSGTPtmmsHOGTlDtnnUADlMVY5n63wXjz5NZuz2pwa1qK_1i7FwtxvE393X2Btn6WrHfw8Cp3Kpm7IijApBjhkDjXLM-V0zcfv7Luf8Br3QCnxfAgAA,2024-03-19,2024-03-20,,640.0
38941152,08,POUTINE UNIT 57-330E,11UA,CALLON PETROLEUM OPERATING CO(124828),REEVES,Submitted: 03/19/2024 Approved: 03/20/2024,898238,Horizontal,New Drill,N,12500,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497096195&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQ0RNkO0oGDUaRzkwbNYGRQbEERIFsGJfcB6ONLuyiQOp0z6Xg8HY9MIATKBAIQHoiaqonW9_uG2lqccOY_9FkNQ5AZt7OoP1XIjH9f5VVR5CyQuJLP22PFMJ9gS9Y525sXTZ2NYTdq-vpxzVrPogI7HS--Pfgn5RwTJZKOI_UH_6oVNRemNihuwtRh7lZkQjYoUt2bcqOeM3KGfPNYAJTTJmx41sb24WjjZMZuf2qQi_pavxgLd7tB-N19jYMymq52_PcgcKqXuikrQpIIIuUMChSp5HfNxO3vu5zzG1itomFfAgAA,2024-03-19,2024-03-20,,640.0
46142698,7C,HERBERT 102A,1HL,OVINTIV USA INC.(628658),UPTON,Submitted: 02/08/2024 Approved: 03/18/2024,896586,Horizontal,New Drill,Y,10300,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=496962434&rrcActionMan=H4sIAAAAAAAAAL1Ru27DMAz8mnQUJFk20oGDUaRzH0EzGBkUW1AEyJZByX0A-vjSLgqkTudsvOPpeKSy4BxkFlyAuENs6za5MLy02DX8CAv_YU56HKNk1GbJfOrIbHjfFLVSBQkkbOTj7lBTWcxlh857N9gng71L8Xky-PXjyrpAIgW9SefQ7cOD9p6IEtCkCYd9eDUa2zNRW-BXYZq4dGu0kY0adf-m_WSWjJRBVULJ6n47oxJOxrohHlyazcjtDxZyhS_1q7HiZjeIv7tXMGpr8GLHfw8ijs1aN2cFkSUIngv6VAU8l0RURFy_vsk5vwE099gSXwIAAA,2024-02-08,2024-03-18,Allocation,1050.01
46142699,7C,HERBERT 102A,2HD,OVINTIV USA INC.(628658),UPTON,Submitted: 02/08/2024 Approved: 03/18/2024,896588,Horizontal,New Drill,Y,10300,896586,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=496962436&rrcActionMan=H4sIAAAAAAAAAL1Ru27DMAz8mnQUJFk2moGDUaRzH0EzGBkUW1AEyJZByX0A-vjSLgqkTudsvOPpeKSy4BxkFlyAuENs6za5MLy02DX8CAv_YU56HKNk1GbJfOrIbHjfFLVSBQkkbOTj7lBTWcxlh857N9gng71L8Xky-PXjyrpAIgW9SefQ7cOD9p6IEtCkCYd9eDUa2zNR98CvwjRx6dZoIxs16v5N-8ksGSmDqoSS1XY7oxJOxrohHlyazcjtDxZyhS_1q7HiZjeIv7tXMGpr8GLHfw8ijs1aN2cFkSUIngv6VAU8l0RURFy_vsk5vwGXI78ZXwIAAA,2024-02-08,2024-03-18,"Allocation, Stacked Lateral",1050.01
46142701,7C,HERBERT 102C,4HL,OVINTIV USA INC.(628658),UPTON,Submitted: 02/08/2024 Approved: 03/18/2024,896616,Horizontal,New Drill,Y,10300,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=496962438&rrcActionMan=H4sIAAAAAAAAAL1Ru27DMAz8mnQURFl2u3AwinZuk6AZjAyKLTgCbMug5D4AfXxpFwVSp3M23vF0PFIJpESVQALCHVFd1tH5YVtTU8kjLvyHPZlxDEpwW0T7aYJo_fsmK7XOWKBwo56fDiWX2Vw25LrODe2Lpd7F8DpZ-vpxFY1nkcbexrNv9v7RdB0TOZKNEw17v7OG6jNTDyivwlRh6ZbUBjEaMv2b6Sa7ZOQMugCt7iXMKMeTbd0QDi7OZuz2B4Na4Uv9aizc7Abhd_cCR9Nautjx34PAsVrr5qwISSHIlPGnapQpZ6Jg4vr1Tc75DXpH9hpfAgAA,2024-02-08,2024-03-18,Allocation,1050.01
46142738,7C,VERA 2,03MS,SUMMIT PETROLEUM LLC(829221),UPTON,Submitted: 03/06/2024 Approved: 03/19/2024,897981,Horizontal,New Drill,N,8400,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497060487&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9LKbhYNRpHMfQTMYGRRbcATIlkHJfQD6-NIuCqRO50w6Hk_HI7PgHGQWXIC4Q2yqJrkwvDTY1vwIC_9hT2Yco2TUZsl-msi68L5RldaKBBI28nF3qAiqGbbovHdD92Sxdyk-Txa_flxZG0ikobfpHNp9eDDeE1EA2jThsA-v1mBzJmoL_CpMHZduhV1ko0HTvxk_2SUjZdCl0PJebeeqgJPt3BAPLs1m5PanFnJVX-pXY8XNbhB_dy9hNJ3Fix3_PYg41mvdnBVEliB4VgQ08FzQWxJx_fsm5_wGaReMvF8CAAA,2024-03-06,2024-03-19,Allocation,967.3
46142739,7C,VERA 3,05JM,SUMMIT PETROLEUM LLC(829221),UPTON,Submitted: 03/06/2024 Approved: 03/20/2024,897983,Horizontal,New Drill,N,8700,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497060488&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQ09LLbDhyMoJ37CJrByKDYgiJAtgxK7gPQx5d2USB1OmfS8Xg6Hpk5YyAyZxz4DWJbt8mF4aXFrmEHWPgPc9TjGEVB7SKZTx0LG943slZKkkDARjw-7GuCcoYdOu_dYJ8M9i7F58ng149r0QUSKehNOoVuF7baeyJKQJMmHHbh1WhsT0TdAbsI08SlW6ONxahR92_aT2bJSBlUxZW4lfdzVcLRWDfEvUuzGbn9qblY1ef61Vh-tRvE390rGLU1eLbjvwfhh2atm7MCzwI4y5KAApZLeisiLn9f5ZzfysPrt18CAAA,2024-03-06,2024-03-20,Allocation,967.3
46142740,7C,VERA 4,07LS,SUMMIT PETROLEUM LLC(829221),UPTON,Submitted: 03/06/2024 Approved: 03/20/2024,897989,Horizontal,New Drill,N,8700,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497060489&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQUJFl2u3AwinZuk6AZjAyKLSgCZMug5D4AfXxpFwVSp3MmHY-n45FZcA4yCy5A3CG2dZtcGLYtdg0_wsJ_mJMexygZtVkynzoyG943Ra1UQQIJG_n8dKgJFjPs0HnvBvtisHcpvk4Gv35cWRdIpKA36Ry6fXjU3hNRApo04bAPO6OxPRP1APwqTBOXbo02slGj7t-0n8ySkTKoSih5r_hclXAy1g3x4NJsRm5_aiFX9aV-NVbc7Abxd_cKRm0NXuz470HEsVnr5qwgsgTBc0FAAc8lvRUR179vcs5volzs018CAAA,2024-03-06,2024-03-20,,967.3
46142741,7C,VERA 5,09MS,SUMMIT PETROLEUM LLC(829221),UPTON,Submitted: 03/06/2024 Approved: 03/20/2024,897994,Horizontal,New Drill,N,8400,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497060490&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQURFl2u3AwinZuk6AZjAyKLTgCbMug5D4AfXxpFwVSp3MmHY-n45EJpESVQALCHVFd1tH5YVtTU8kjLvyHPZlxDEpwW0T7aYJo_fsmK7XOWKBwo56fDiXDbIYNua5zQ_tiqXcxvE6Wvn5cReNZpLG38eybvX80XcdEjmTjRMPe76yh-szUA8qrMFVYuiW1QYyGTP9muskuGTmDLkCrew1zlePJtm4IBxdnM3b7U4Na1Zf61Vi42Q3C7-4Fjqa1dLHjvweBY7XWzVkRkkKQKWOgUaac34KJ6983Oec3AYiL2F8CAAA,2024-03-06,2024-03-20,Allocation,967.3
46142742,7C,VERA 6,11LS,SUMMIT PETROLEUM LLC(829221),UPTON,Submitted: 03/06/2024 Approved: 03/20/2024,897996,Horizontal,New Drill,N,8700,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497060491&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQURFlxu3AwinbuI2gGI4NiC4oA2TIouQ_AH1_aRYHU6ZxJx-PpeOQEUqKaQALCDVFTNdnH_qWhtpYHXPgPezTDkJTgtsj20yTh4vumqLQuWKBwox4f9hXDYoYt-RB8754sdT6n59HS14-raCOLNHY2n2K7i_cmBCa2SDaP1O_iqzXUnJi6Q3kRpk5LtyKXxGDIdG8mjHbJyBl0CVrd6nkTNjxa5_u093k2Y7c_NahVfa5fjYWr3SD97l7iYJylsx3_PQgc6rVuzoowKQQ5FQw0ymnLb8nE5e-rnPMb5PUjxV8CAAA,2024-03-06,2024-03-20,Allocation,967.3
46142743,7C,VERA 7,13JM,SUMMIT PETROLEUM LLC(829221),UPTON,Submitted: 03/06/2024 Approved: 03/20/2024,897999,Horizontal,New Drill,N,8700,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497060493&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQURFlxu3AwinbuI2gGI4NiC4oA2TIouQ_AH1_aRYHU6ZxJx-PpeOQEUqKaQALCDVFTNdnH_qWhtpYHXPgPezTDkJTgtsj20yTh4vumqLQuWKBwox4f9hXDYoYt-RB8754sdT6n59HS14-raCOLNHY2n2K7i_cmBCa2SDaP1O_iqzXUnJi6Q3kRpk5LtyKXxGDIdG8mjHbJyBl0CVrdLoHY8Gid79Pe59mM3f7UoFb1uX41Fq52g_S7e4mDcZbOdvz3IHCo17o5K8KkEORUMNAopy2_JROXv69yzm9HIUTOXwIAAA,2024-03-06,2024-03-20,Allocation,967.3
47538768,08,CONDIMENT KING 6920A-34,2H,JAGGED PEAK ENERGY LLC(429574),WARD,Submitted: 03/12/2024 Approved: 03/18/2024,898109,Horizontal,New Drill,N,12500,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497060503&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQUJFl2vHAwinZuk6AZjAyKLSgCbMug5D4AfXxpFwVSp3MmHY-n45FJcA4yCS5APCA2VROdH3YNtjU_wcJ_mLMexyAZtVk0nzow6983WaVURgIJG_n8dKwIZjNs0XWdG-yLwd7F8DoZ_PpxZa0nkYLexItvD_5Rdx0ROaCJEw4HvzcamwtRJfCbMHVYuhXawEaNun_T3WSWjJRBbfOs3BblXOVwNtYN4ejibEZuf2ohV_W1fjVW3O0G4Xf3AkZtDV7t-O9BxKle6-asIJIEwVNGQAFPOb0FEbe_73LObxHQmV5fAgAA,2024-03-12,2024-03-18,,573.39
47538775,08,DIRE WOLF 10 1BS A,1H,"POINT ENERGY PARTNERS PETRO, LLC(668897)",WARD,Submitted: 03/27/2024 Approved: 04/02/2024,898421,Horizontal,New Drill,N,13000,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497107409&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQ0JFmOs3AwinbuI2gGI4NiE4oA2TIouQ_AH1_aRYHU6ZxJx-PpeOQkhQA1SSFB3hE1VZNc6F8aamtxhIX_wJMZhqgybmcJP03MbHjf5JXWOQsUbNTjw6FimM-wJee96-0TUudSfB6Rvn5cszawSEOH6Rzafbg33jNRAGEaqd-HVzTUnJnagbgKU8elW5GN2WDIdG_Gj7hk5Ay6LPJdWRZzVcAJrevjwaXZjN3-1FKt6kv9aqy82Q3i7-5bGIxFutjx34PIY73WzVlBTgqkmHIGGsRU8Ltl4vr3Tc75DaBmi2xfAgAA,2024-03-27,2024-04-02,Allocation,973.21
47538776,08,DIRE WOLF 10 1BS B,2H,"POINT ENERGY PARTNERS PETRO, LLC(668897)",WARD,Submitted: 03/27/2024 Approved: 04/02/2024,898423,Horizontal,New Drill,N,13000,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497107411&rrcActionMan=H4sIAAAAAAAAAL1QTW-DMAz9Nd0RJSFALz6gaTtvbbUeUA8pWGkkIMgJ-5D48TNMkzq6c095fn55fvYkhQA1SSFBPhDVZR2d73c1NZU4wcJ_4NkMQ1AJt5OInyYk1r9v0lLrlAUKNur56VgyTGfYkGtb19sXpM7F8Doiff24Jo1nkYYO48U3B_9o2paJDAjjSP3B79FQfWFqC-ImTBWWbkk2JIMh072ZdsQlI2fQRZZuiyKfqwzOaF0fji7OZuz2p5ZqVV_rV2Pl3W4QfnfPYTAW6WrHfw8iT9VaN2cFOSmQYkoZaBBTxm_OxO3vu5zzG0UbI3FfAgAA,2024-03-27,2024-04-02,Allocation,973.21
47538777,08,DIRE WOLF 10 1BS C,3H,"POINT ENERGY PARTNERS PETRO, LLC(668897)",WARD,Submitted: 03/27/2024 Approved: 04/02/2024,898424,Horizontal,New Drill,N,13000,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497107413&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9HKchYNRtHMfQTMYGRRbUATIlkHJfQD--NIuCqRO50w6Hk_HIyfBOchJcAHiDrGpmuxj_9JgW_MjLPyHPZlhSJJRm2X7aRJz8X2jKq0VCSRs5OPDoSKoZtiiD8H37sli53N6Hi1-_biyNpJIQ2fzObb7eG9CIKIAtHnEfh9frcHmTNQO-FWYOi3dCl1ig0HTvZkw2iUjZdBloXZlWc5VASfrfJ8OPs9m5PanFnJVX-pXY8XNbpB-d9_CYJzFix3_PYg41mvdnBXEJEHwSRHQwKeC3i0R179vcs5v5s9Eel8CAAA,2024-03-27,2024-04-02,Allocation,973.21
47538778,08,DIRE WOLF 30 3BS C,3H,"POINT ENERGY PARTNERS PETRO, LLC(668897)",WARD,Submitted: 03/27/2024 Approved: 04/02/2024,898426,Horizontal,New Drill,N,13000,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497107414&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9HLshYNRtHObBM1gZFBswRFgWwYl9wHo40u7KJA6nTPpeDwdj0yCc5BJcAHiAbEu6-j8sKuxqfgJFv7Dns04BsmozaL9NIG1_n2jSq0VCSRs5PPTsSSoZtig6zo3tC8WexfD62Tx68eVNZ5EGnobL745-EfTdURkgDZOOBz83hqsL0QVwG_CVGHpltgGNho0_ZvpJrtkpAw6z1SR58VcZXC2rRvC0cXZjNz-1EKu6mv9aqy42w3C7-5bGE1r8WrHfw8iTtVaN2cFkSQInhQBDTxl9G6JuP19l3N-A5dFTRFfAgAA,2024-03-27,2024-04-02,Allocation,973.21
47538779,08,DIRE WOLF 50 WA C,3H,"POINT ENERGY PARTNERS PETRO, LLC(668897)",WARD,Submitted: 03/27/2024 Approved: 04/02/2024,898427,Horizontal,New Drill,N,13000,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497107415&rrcActionMan=H4sIAAAAAAAAAL1QTW-DMAz9Nd0RJSGU7uADqrZzu1XrAfWQgpVGAoKcsA-JHz_DNKmjO_eU5-eX52ePUghQoxQS5ANRVVTR-e6loroUJ5j5Dzybvg8q4XYS8dOExPr3VVponbJAwUo9Px0LhukEa3JN4zq7Q2pdDPsB6evHNak9izS0GC--PvitaRomMiCMA3UH_4qGqgtTGxA3YcowdwuyIekNmfbNNAPOGTmDzrN0k-ePU5XBGa3rwtHFyYzd_tRSLepr_WKsvNsNwu_ua-iNRbra8d-DyFO51E1ZQY4KpBhTBhrEmPG7ZuL2913O-Q00kSoaXwIAAA,2024-03-27,2024-04-02,Allocation,973.21
47538780,08,DIRE WOLF 60 WB C,3H,"POINT ENERGY PARTNERS PETRO, LLC(668897)",WARD,Submitted: 03/27/2024 Approved: 04/02/2024,898428,Horizontal,New Drill,N,13000,,APPROVED,https://webapps2.rrc.texas.gov/EWA/drillingPermitDetailAction.do?methodToCall=searchByUniversalDocNo&universalDocNo=497107416&rrcActionMan=H4sIAAAAAAAAAL1Qu27DMAz8mnQU9HLihYNRtHMfQTMYGRRbcATIlkHJfQD6-NIuCqRO50w6Hk_HI7PgHGQWXIC4Q2yqJrkwvDTY1vwIC_9hT2Yco2TUZsl-msi68L5RldaKBBI28vHhUBFUM2zRee-G7sli71J8nix-_biyNpBIQ2_TObT7cG-8J6IAtGnCYR9ercHmTFQJ_CpMHZduhV1ko0HTvxk_2SUjZdC7QpW7ks9VASfbuSEeXJrNyO1PLeSqvtSvxoqb3SD-7r6F0XQWL3b89yDiWK91c1YQWYLgWRHQwHNB75aI6983Oec3r6gabV8CAAA,2024-03-27,2024-04-02,Allocation,973.21
